"","subject","rater","task","value"
"1",1,1,"item1",5
"2",2,1,"item1",9
"3",3,1,"item1",3
"4",4,1,"item1",7
"5",5,1,"item1",9
"6",6,1,"item1",3
"7",7,1,"item1",7
"8",1,2,"item1",6
"9",2,2,"item1",8
"10",3,2,"item1",4
"11",4,2,"item1",5
"12",5,2,"item1",2
"13",6,2,"item1",4
"14",7,2,"item1",3
"15",1,3,"item1",5
"16",2,3,"item1",7
"17",3,3,"item1",3
"18",4,3,"item1",5
"19",5,3,"item1",9
"20",6,3,"item1",3
"21",7,3,"item1",7
"22",1,1,"item2",5
"23",2,1,"item2",7
"24",3,1,"item2",3
"25",4,1,"item2",3
"26",5,1,"item2",7
"27",6,1,"item2",5
"28",7,1,"item2",7
"29",1,2,"item2",5
"30",2,2,"item2",7
"31",3,2,"item2",5
"32",4,2,"item2",6
"33",5,2,"item2",4
"34",6,2,"item2",4
"35",7,2,"item2",3
"36",1,3,"item2",5
"37",2,3,"item2",7
"38",3,3,"item2",5
"39",4,3,"item2",3
"40",5,3,"item2",7
"41",6,3,"item2",3
"42",7,3,"item2",7
"43",1,1,"item3",3
"44",2,1,"item3",5
"45",3,1,"item3",3
"46",4,1,"item3",1
"47",5,1,"item3",7
"48",6,1,"item3",3
"49",7,1,"item3",5
"50",1,2,"item3",4
"51",2,2,"item3",5
"52",3,2,"item3",3
"53",4,2,"item3",4
"54",5,2,"item3",3
"55",6,2,"item3",6
"56",7,2,"item3",5
"57",1,3,"item3",5
"58",2,3,"item3",5
"59",3,3,"item3",5
"60",4,3,"item3",3
"61",5,3,"item3",7
"62",6,3,"item3",3
"63",7,3,"item3",7
"64",1,1,"item4",5
"65",2,1,"item4",8
"66",3,1,"item4",7
"67",4,1,"item4",3
"68",5,1,"item4",8
"69",6,1,"item4",5
"70",7,1,"item4",5
"71",1,2,"item4",6
"72",2,2,"item4",7
"73",3,2,"item4",6
"74",4,2,"item4",5
"75",5,2,"item4",2
"76",6,2,"item4",4
"77",7,2,"item4",5
"78",1,3,"item4",7
"79",2,3,"item4",7
"80",3,3,"item4",5
"81",4,3,"item4",3
"82",5,3,"item4",7
"83",6,3,"item4",5
"84",7,3,"item4",5
"85",1,1,"item5",3
"86",2,1,"item5",5
"87",3,1,"item5",1
"88",4,1,"item5",3
"89",5,1,"item5",5
"90",6,1,"item5",1
"91",7,1,"item5",5
"92",1,2,"item5",3
"93",2,2,"item5",2
"94",3,2,"item5",6
"95",4,2,"item5",5
"96",5,2,"item5",3
"97",6,2,"item5",2
"98",7,2,"item5",4
"99",1,3,"item5",3
"100",2,3,"item5",5
"101",3,3,"item5",5
"102",4,3,"item5",1
"103",5,3,"item5",7
"104",6,3,"item5",3
"105",7,3,"item5",7
